#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
457	-1.75	0	0	80	100	1.61	296.57
458	-1.75	0	0	86	100	2.74	293.2
459	-1.75	0	0	91	100	2.9	277.13
460	-1.75	0	0	95	100	2.19	279.46
461	-1.75	0	0	96	100	0.8	206.57
462	-1.75	0	0	97	100	1.8	180
463	-1.75	0	0	98	100	1.61	153.43
464	-1.75	0	0	97	100	1.61	116.57
465	-1.75	0	0	95	100	2.55	98.13
466	-1.75	0	0	94	100	2.52	90
467	-1.75	0	0	85	100	4.69	94.4
468	-1.75	0	0	74	100	6.48	90
469	-1.75	0	0	66	100	8.65	87.61
470	-1.75	0	0	56	100	12.24	90
471	-1.75	0	0	53	100	10.9	82.41
472	-1.75	0	0	53	100	9.96	77.47
473	-1.75	0	0	57	100	7.29	69.78
474	-1.75	0	0	62	100	4.51	61.39
475	-1.75	0	0	71	100	3.32	77.47
476	-1.75	0	0	79	100	4.2	120.96
477	-1.75	0	0	79	100	4.9	126.03
478	-1.75	0	0	77	100	6.12	118.07
479	-1.75	0	0	75	100	6.12	118.07
480	-1.75	0	0	75	100	5.48	113.2
481	-1.75	0	0	75	100	5.15	114.78
482	-1.75	0	0	75	100	5.19	123.69
483	-1.75	0	0	77	100	6.3	120.96
484	-1.75	0	0	76	100	4.84	131.99
485	-1.75	0	0	75	100	4.1	142.13
486	-1.75	0	0	78	100	4.51	151.39
487	-1.75	0	0	75	100	4.39	145.01
488	-1.75	0	0	72	100	5.99	147.26
489	-1.75	0	0	74	100	7.2	126.87
490	-1.75	0	0	79	100	8.09	110.85
491	-1.75	0	0	78	100	2.74	113.2
492	-1.75	0	0	68	100	4.55	288.43
493	-1.75	0	0	67	100	11.87	284.04
494	-1.75	0	0	62	100	13.63	282.2
495	-1.75	0	0	60	100	13.44	277.7
496	-1.75	0	0	59	100	12.68	276.52
497	-1.75	0	0	61	100	8.47	282.26
498	-1.75	0	0	65	100	6.99	304.51
499	-1.75	0	0	68	100	5.4	323.13
500	-1.75	0	0	73	100	3.56	315
501	-1.75	0	0	76	100	3.98	275.19
502	-1.75	0	0	79	100	5.4	270
503	-1.75	0	0	80	100	6.99	281.89
504	-1.75	0	0	83	100	6.29	293.63
505	-1.75	0	0	86	100	4.55	288.43
506	-1.75	0	0	88	100	3.6	270
507	-1.75	0	0	89	100	2.88	270
508	-1.75	0	0	90	100	2.16	270
509	-1.75	0	0	92	100	1.8	306.87
510	-1.75	0	0	93	100	2.55	351.87
511	-1.75	0	0	93	100	2.9	352.88
512	-1.75	0	0	93	100	2.41	333.43
513	-1.75	0	0	94	100	3.55	336.04
514	-1.75	0	0	92	100	3.62	354.29
515	-1.75	0	0	88	100	3.6	360
516	-1.75	0	0	84	100	5.96	25.02
517	-1.75	0	0	74	100	11.44	61.82
518	-1.75	0	0	56	100	19.16	61.99
519	-1.75	0	0	54	100	21.58	62.15
520	-1.75	0	0	56	100	25.19	59.04
